Incident ID,Incident Timestamp,Status,Priority,Reported Source,Category,System,Description,Keywords,Problem Description,Solution Description
INC00001,10-02-2014 22:15,Closed,Medium,,Create a new user.,ECC,Create a new user.,New User,I want to create a new User ID. Hi My name is XYZ. Please help me with the same.,Call BAPI_USER_CREATE/BAPI_USER_CREATE1 with specified parameters
INC00002,18-05-2014 23:15,Closed,Low,,Reset password,SRM,Reset password,User,Please reset Password for ABC.,Call BAPI_USER_CHANGE
INC00003,10-03-2014 22:15,Closed,Low,,Change User,CRM,Change User,User,I recently married and my name was updated from Phipps to Hawkesford in CRM/ERP System. It seems to have reverted back to Phipps again now which has messed up the views I have setup. Can you arrange for this to be changed back to Hawkesford please?,Call BAPI_USER_CHANGE
INC00004,11-02-2014 23:15,Closed,Low,,Reset password,ECC,Reset password,User,User has called in to reset the password for crm/erp systemTried with the forgot password and after entering the security questions its not working She wants to password reset to be done at the earliest.,Call BAPI_USER_CHANGE
INC00005,10-02-2014 22:15,Closed,Low,,Reset password,CRM,Reset password,User,"Issue: Unable to login to  program Error: Invalid user name & Password. Note: User is able to login to CRM/ERP website, hence escalating this case.",Call BAPI_USER_CHANGE
INC00006,10-03-2014 22:15,Closed,Low,,Reset password,ECC,Reset password,User,"Hi - please reset my Sandbox password. (BTW, I saw the notice about the refresh end of this week. I'm hoping to do a bit of testing before the refresh. Thanks.) ",Call BAPI_USER_CHANGE
INC00007,11-02-2014 23:15,Closed,Low,,Reset password,FI,Reset password,User,"Case Number 07466117 I am having significant trouble gaining access to finance system I was sent an email a few days ago confirming my request for access and was told I was sent a temporary password that should give me access, however, I never received this password. Could you please resend this password or somehow provide me access to finance system as I have an opportunity that requires a pricing right now. Thanks in advance. I appreciate the help. ",Call BAPI_USER_CHANGE
INC00008,18-05-2014 23:15,Closed,Low,,Reset password,ECC,Reset password,User,requested new password/site access. password was reset. now I am receiving a message that I am not a recognized user. ,Call BAPI_USER_CHANGE
INC00009,10-03-2014 22:15,Closed,Low,,Add privileges,ECC,Add privileges,User,Client is unable to create security information because she is getting  You do not have the level of access necessary to perform the operation requested. Please contact the owner of the record or your administrator  error message.,Call BAPI_USER_CHANGE
INC00010,18-05-2014 23:15,Closed,Medium,,Create a new user.,Salesforce,Create a new user.,New User,"Please create an account for me to access Salesforce, and share the credentials. Thanks.",Call BAPI_USER_CREATE/BAPI_USER_CREATE1 with specified parameters
